Well,Luminescence (398 nm),Luminescence (413 nm),Luminescence (428 nm),Luminescence (443 nm),Luminescence (458 nm),Luminescence (473 nm),Luminescence (488 nm),Luminescence (503 nm),Luminescence (518 nm),Luminescence (533 nm),Luminescence (548 nm),Luminescence (563 nm),Luminescence (578 nm),Luminescence (593 nm),Luminescence (608 nm),Luminescence (623 nm),Luminescence (638 nm),Luminescence (653 nm),Type,Compound,Protein
A1,3,3,2,8,6,5,10,83,295,889,1588,1981,1961,1527,1293,797,608,393,Blank,-,CDK1
A2,8,7,3,5,8,10,24,80,314,1003,1845,2354,2318,1891,1599,909,691,427,Blank,-,CDK1
A3,192,189,103,53,72,176,655,4363,19601,60382,110681,133451,133126,104618,89738,54206,41652,25508,Negative control,-,CDK1
A4,184,194,119,64,67,160,737,4540,20091,62035,114402,137221,136380,105913,92685,55261,43147,25355,Negative control,-,CDK1
A5,6,8,3,6,6,9,15,95,453,1302,2503,2983,2910,2219,2020,1128,1004,573,Positive control,Dinaciclib,CDK1
A6,8,8,7,7,6,11,29,135,600,1721,3201,4044,3840,3157,2425,1596,1202,674,Positive control,Dinaciclib,CDK1
A7,306,335,190,93,141,286,1198,7549,33453,103504,192122,231607,231685,180251,155624,93559,73339,42593,Screen,B1,CDK1
A8,157,176,99,51,70,138,578,3772,17240,52126,96116,116366,115985,91979,78501,48110,37539,21822,Screen,B1,CDK1
A9,190,202,112,58,74,146,677,4115,18374,55806,104059,126031,124841,98460,84250,51072,39240,23277,Screen,B1,CDK1
A10,187,183,119,55,69,142,618,3992,18269,55455,102481,123893,122443,96289,82983,50214,39234,22749,Screen,B2,CDK1
A11,148,166,92,42,48,143,512,3354,15140,46338,85271,103530,102910,80793,69723,41843,32639,19597,Screen,B2,CDK1
A12,175,162,105,57,71,140,656,4177,18713,57532,106291,128252,128029,100261,85911,51347,40563,23988,Screen,B2,CDK1
B1,137,145,84,43,55,129,452,2860,12743,39192,72795,87496,87640,68866,59085,36400,27974,16549,Screen,B3,CDK1
B2,148,142,80,53,54,119,512,3207,14429,44048,81894,98757,98072,77155,66609,39912,31135,18340,Screen,B3,CDK1
B3,149,155,100,50,56,138,562,3465,15877,48507,89448,108552,107409,84254,73319,44216,34778,20167,Screen,B3,CDK1
B4,164,143,93,48,40,127,535,3421,15140,46962,86268,104256,103671,81858,69734,41932,32990,19370,Screen,B4,CDK1
B5,147,169,102,60,70,123,579,3492,15970,48684,91070,109449,107949,85011,72680,44114,34675,20021,Screen,B4,CDK1
B6,122,155,106,51,53,132,498,3312,14687,44830,82570,100161,99723,78997,67526,40729,31820,19506,Screen,B4,CDK1
B7,166,182,114,50,62,143,612,3707,17017,51197,95307,115889,115731,90748,77389,46817,36821,21291,Screen,B5,CDK1
B8,223,219,135,67,75,201,804,5124,22803,69600,130133,156231,155768,122010,103787,63483,49494,29122,Screen,B5,CDK1
B9,177,143,93,50,53,135,585,3755,17104,52059,96418,115456,114694,89549,77415,46472,36596,20768,Screen,B5,CDK1
B10,187,188,107,49,60,141,650,4128,18215,56161,103714,124384,123838,97658,83443,50463,39102,22796,Screen,B6,CDK1
B11,172,173,106,53,63,144,620,3839,17477,53272,98471,118752,118435,92357,79847,47797,37565,21963,Screen,B6,CDK1
B12,172,181,119,51,67,150,639,3970,17719,54353,100674,120755,120224,95062,81966,48785,37948,22147,Screen,B6,CDK1
C1,166,175,91,49,71,148,614,3656,16971,51771,95438,115227,114502,90325,77339,47099,36361,21531,Screen,B7,CDK1
C2,176,196,95,46,73,161,607,3810,17054,52765,97784,118141,117302,91370,78759,47421,37066,21689,Screen,B7,CDK1
C3,214,247,125,72,84,197,785,4826,22063,66692,123396,149390,148941,116165,99558,60275,46512,27365,Screen,B7,CDK1
C4,136,143,81,34,52,116,523,3125,14227,43788,82082,98237,97580,77425,66261,39769,31340,18436,Screen,B8,CDK1
C5,150,118,84,36,39,126,465,3098,13902,42068,78415,94358,94612,74532,63705,39046,30599,17744,Screen,B8,CDK1
C6,158,158,87,43,56,134,482,3259,14525,44839,83559,100482,100610,78945,67024,40804,31844,18571,Screen,B8,CDK1
C7,82,69,36,24,36,74,259,1709,7684,23531,43960,53167,53315,41666,35851,21810,16875,9992,Screen,B9,CDK1
C8,82,61,40,30,23,62,270,1678,7707,23150,42801,52571,52628,41069,34785,21587,16869,9964,Screen,B9,CDK1
C9,74,107,56,36,35,82,332,1950,9135,27582,51470,62486,62169,49193,41815,25053,19887,11298,Screen,B9,CDK1
C10,194,198,109,55,59,167,678,4318,19272,59579,111060,134032,133353,104775,89582,54209,42344,24925,Screen,B10,CDK1
C11,200,186,127,54,73,172,645,4113,18601,57249,106216,129258,127669,101136,86286,52552,40807,23970,Screen,B10,CDK1
C12,186,188,136,57,74,152,674,4242,19024,58598,108146,130269,129680,101994,87553,52620,41236,23772,Screen,B10,CDK1
D1,155,173,96,43,57,140,529,3404,15190,46485,86036,104642,103295,81387,69534,42369,33036,19659,Screen,B11,CDK1
D2,145,156,95,47,49,128,524,3387,14986,45899,85465,103213,102697,80648,69613,42134,32827,18850,Screen,B11,CDK1
D3,160,164,104,46,66,137,563,3588,15877,49152,91168,109855,109462,86160,73899,44874,35219,20549,Screen,B11,CDK1
D4,178,179,116,40,57,160,648,3918,17730,54085,101062,121544,120800,95300,81380,49279,38641,22606,Screen,B12,CDK1
D5,184,194,140,47,62,146,668,3958,18171,54944,101735,123108,122490,96657,83424,49976,39176,22879,Screen,B12,CDK1
D6,179,187,110,66,67,159,687,3945,17308,53338,99623,120076,119976,94403,81785,48861,38204,22090,Screen,B12,CDK1
D7,181,203,112,63,67,156,651,4118,18513,56750,105243,127233,126686,99861,85201,51725,40204,23603,Screen,B13,CDK1
D8,169,169,116,65,72,148,665,4004,17843,53575,99789,121738,121160,95445,82109,49640,39180,22686,Screen,B13,CDK1
D9,208,195,123,43,57,150,662,4135,18603,56398,104252,126322,125443,97880,83901,50507,39796,22845,Screen,B13,CDK1
D10,140,135,77,36,55,110,420,2776,12197,38277,70895,85261,85210,66509,57638,34831,27170,16104,Screen,B14,CDK1
D11,180,184,112,47,59,184,681,4117,17905,55473,103426,123479,123709,97001,83060,50293,39453,22723,Screen,B14,CDK1
D12,168,167,97,49,47,132,556,3498,15639,47598,88428,107159,106859,83396,72532,43026,33913,20143,Screen,B14,CDK1
E1,166,173,95,49,49,143,577,3737,16637,50838,94291,114393,114093,89321,76493,46340,36200,21036,Screen,B15,CDK1
E2,184,176,95,55,63,155,640,3861,17292,53303,99508,119765,119765,93570,80779,47893,38133,21970,Screen,B15,CDK1
E3,182,173,106,58,54,148,546,3546,15881,48625,90759,109579,109283,85596,74010,44448,34658,20526,Screen,B15,CDK1
E4,180,199,121,74,61,170,707,4498,19450,60130,111700,134253,134187,104608,90383,54032,42554,24839,Screen,B16,CDK1
E5,171,168,109,70,70,164,587,4029,18111,55443,102781,124061,123924,96673,83299,49588,39091,22866,Screen,B16,CDK1
E6,173,165,95,44,51,140,583,3733,16690,50892,94892,114240,113892,90061,76761,46117,36138,21713,Screen,B16,CDK1
E7,137,158,83,53,50,106,325,2415,12307,39182,75271,92242,93268,74914,64338,38845,31152,18186,Screen,B17,CDK1
E8,110,123,71,37,50,95,285,2167,10816,34862,65801,81101,81792,64555,55934,33922,26341,15391,Screen,B17,CDK1
E9,122,155,80,33,56,105,373,2634,12266,38820,73613,89551,90179,70174,61005,36362,28938,17038,Screen,B17,CDK1
E10,158,168,90,50,55,145,597,3798,16950,51384,96065,115092,114429,90688,77966,46648,36647,21598,Screen,B18,CDK1
E11,145,185,110,49,74,141,618,3813,17002,51804,96693,116619,115965,91187,78053,46878,36862,21439,Screen,B18,CDK1
E12,159,148,104,44,52,144,496,3345,15003,46268,86032,104134,104294,81184,69878,41896,32633,19344,Screen,B18,CDK1
F1,127,117,70,42,50,116,427,2865,12522,38363,70880,86468,86168,67674,57171,34930,27415,15925,Screen,B19,CDK1
F2,154,151,102,36,56,103,485,3146,13965,42770,79328,96104,95725,74532,63604,38578,30168,17392,Screen,B19,CDK1
F3,127,135,86,41,62,135,523,3293,14586,45145,83759,100607,101144,79143,67831,40926,31879,18956,Screen,B19,CDK1
F4,194,170,112,53,62,120,609,4038,17564,54270,99923,121314,120090,93937,81065,48417,37829,21866,Screen,B20,CDK1
F5,159,168,96,37,66,145,548,3617,15728,48162,89797,108835,109273,85295,73417,44228,34454,20174,Screen,B20,CDK1
F6,184,158,101,44,57,132,577,3683,16686,51187,94804,114952,115559,89867,77274,46382,36319,21236,Screen,B20,CDK1
F7,189,176,91,49,85,155,692,4091,18300,56284,104602,126057,126382,98297,85007,50990,39964,23176,Screen,B21,CDK1
F8,185,194,110,60,74,161,678,4240,19115,57783,107397,128943,129413,102194,86973,52794,40759,23941,Screen,B21,CDK1
F9,161,158,119,49,62,148,606,3864,17142,52463,98026,118028,118092,92611,79411,47926,36590,21432,Screen,B21,CDK1
F10,170,175,106,55,64,167,603,3868,17546,54303,100716,121226,120996,94873,82028,49292,38392,22673,Screen,B22,CDK1
F11,201,188,123,58,76,166,671,4572,19831,60979,113532,137227,136571,106913,91105,55570,43432,25159,Screen,B22,CDK1
F12,177,177,113,48,74,149,629,3920,17576,53641,99730,121026,120746,94229,80500,49197,38338,22481,Screen,B22,CDK1
G1,196,195,123,67,71,187,723,4411,19768,60687,112095,135374,135405,105415,90141,54079,42861,25198,Screen,B23,CDK1
G2,191,202,135,56,89,185,694,4362,19570,59669,111551,135043,134810,103976,90076,54984,41774,24503,Screen,B23,CDK1
G3,177,173,117,61,75,162,616,4018,18081,55317,103235,124115,124212,97115,83547,50480,39015,23157,Screen,B23,CDK1
G4,164,168,112,60,63,161,692,3911,18353,55814,103552,126008,125509,99046,84753,50663,39711,23746,Screen,B24,CDK1
G5,201,178,114,48,70,150,624,3910,18034,55030,102161,124158,124098,97432,83921,50150,39172,23126,Screen,B24,CDK1
G6,173,190,103,48,67,157,683,4007,18362,55838,103314,125561,125425,98214,84146,50689,39939,23001,Screen,B24,CDK1
G7,182,194,103,48,64,162,649,4006,17393,53197,98769,120380,119147,93937,80157,48225,38240,22775,Screen,B25,CDK1
G8,171,190,97,66,65,163,645,4251,18545,57425,106947,128903,129057,100330,86932,52445,40541,24337,Screen,B25,CDK1
G9,161,155,106,58,52,138,538,3429,15499,47229,88457,106316,105706,83910,71069,43639,33769,19818,Screen,B25,CDK1
G10,160,156,97,56,56,130,531,3305,14685,45587,84513,102255,103009,80403,69843,41842,32752,19277,Screen,B26,CDK1
G11,144,138,85,43,55,113,525,3296,14424,45035,83155,100353,100520,79251,68041,40888,31838,18980,Screen,B26,CDK1
G12,183,175,90,42,68,137,551,3500,15896,48507,89234,109256,109289,85856,73329,44097,34192,20148,Screen,B26,CDK1
H1,180,177,119,54,75,169,651,4035,18160,56405,104460,126705,125891,98718,85148,50903,39421,23415,Screen,B27,CDK1
H2,198,175,129,60,76,173,690,4227,18821,57972,108440,130378,129814,100552,87097,52247,40998,24337,Screen,B27,CDK1
H3,193,194,98,58,67,159,614,3893,17358,53548,100255,120079,120401,93553,79964,48350,37734,22324,Screen,B27,CDK1
H4,156,187,109,57,62,154,571,3940,16864,51890,96595,117922,117439,92390,78421,47797,36791,22025,Screen,B28,CDK1
H5,184,188,120,65,73,152,646,4233,18566,56543,106085,128417,127723,99938,85345,51902,39926,23647,Screen,B28,CDK1
H6,156,160,97,54,66,154,596,3822,16861,51585,96896,116817,116409,90952,78734,46978,36667,21734,Screen,B28,CDK1
H7,173,151,108,48,64,115,233,1791,10216,41040,88979,116258,121245,97748,85078,50958,39325,23964,Screen,B29,CDK1
H8,154,157,96,56,55,99,172,1421,8278,34952,79104,105314,111603,91013,77975,47849,36854,21458,Screen,B29,CDK1
H9,137,137,83,48,53,101,130,990,6076,26513,62395,85061,90708,74881,64528,39405,30854,18722,Screen,B29,CDK1
H10,133,159,81,36,54,122,461,2891,13280,40583,75524,91462,90720,70840,61763,36619,29096,16778,Screen,B30,CDK1
H11,119,115,73,38,53,96,400,2593,11632,35444,66421,80157,80163,62684,54185,32363,25525,15100,Screen,B30,CDK1
H12,77,74,42,25,25,75,282,1664,7767,23763,44399,54357,53936,42893,36428,22099,16845,10026,Screen,B30,CDK1